price;size;location;real_estate;ownership
596.000 €;141,8 m²;Am Wirtsberg 9, Markt Indersdorf, Dachau (Kreis);Haus;Kauf
860.000 €;120 m²;Dachau, Dachau (Kreis);Haus;Kauf
720.000 €;156 m²;Odelzhausen, Dachau (Kreis);Haus;Kauf
520.000 €;120 m²;Erdweg, Dachau (Kreis);Haus;Kauf
610.000 €;170,26 m²;Petershausen, Dachau (Kreis);Haus;Kauf
950.000 €;225 m²;Dachau, Dachau (Kreis);Haus;Kauf
679.000 €;125 m²;Röhrmoos, Dachau (Kreis);Haus;Kauf
799.000 €;142 m²;Dorfstr. 10, Dachau, Dachau (Kreis);Haus;Kauf
689.000 €;115 m²;Sulzemoos, Dachau (Kreis);Haus;Kauf
950.000 €;225 m²;Dachau, Dachau (Kreis);Haus;Kauf
690.000 €;325 m²;Dachau, Dachau (Kreis);Haus;Kauf
833.200 €;183 m²;Dachau, Dachau (Kreis);Haus;Kauf
778.200 €;182 m²;Dachau, Dachau (Kreis);Haus;Kauf
749.000 - 815.000 €;135,00 - 137,00 m²;Münchnerstraße 74a-j, Dachau, Dachau (Kreis);Haus;Kauf
799.000 €;130,76 m²;Dachau, Dachau (Kreis);Haus;Kauf
628.000 €;92 m²;Wehrstaudenstrasse 33, Karlsfeld, Dachau (Kreis);Haus;Kauf
745.000 €;118,4 m²;Karlsfeld, Dachau (Kreis);Haus;Kauf
480.000 €;76 m²;Karlsfeld, Dachau (Kreis);Haus;Kauf
839.000 €;265 m²;Hebertshausen, Dachau (Kreis);Haus;Kauf
629.000 €;136,23 m²;Marktstr. 24, Odelzhausen, Dachau (Kreis);Haus;Kauf
750.000 €;140 m²;Sulzemoos, Dachau (Kreis);Haus;Kauf
1.020.000 €;178 m²;Karlsfeld, Dachau (Kreis);Haus;Kauf
1.890.000 €;212,94 m²;Karlsfeld, Dachau (Kreis);Haus;Kauf
718.400 €;320 m²;Hebertshausen, Dachau (Kreis);Haus;Kauf
625.000 €;80 m²;Dachau, Dachau (Kreis);Haus;Kauf
765.000 €;150 m²;Odelzhausen, Dachau (Kreis);Haus;Kauf
765.000 €;147 m²;Odelzhausen, Dachau (Kreis);Haus;Kauf
675.000 €;140 m²;Vierkirchen, Dachau (Kreis);Haus;Kauf
980.000 €;135 m²;Dachau, Dachau (Kreis);Haus;Kauf
795.000 €;137 m²;Münchnerstraße 74a, Dachau, Dachau (Kreis);Haus;Kauf
639.000 €;120 m²;Petershausen, Dachau (Kreis);Haus;Kauf
1.690.000 €;152,1 m²;Dachau, Dachau (Kreis);Haus;Kauf
639.000 €;125,97 m²;Vierkirchen, Dachau (Kreis);Haus;Kauf
1.185.000 €;255 m²;Schwabhausen, Dachau (Kreis);Haus;Kauf
1.250.000 €;310 m²;Röhrmoos, Dachau (Kreis);Haus;Kauf
775.000 €;184 m²;Odelzhausen, Dachau (Kreis);Haus;Kauf
2.155.000 €;248,71 m²;Dachau, Dachau (Kreis);Haus;Kauf
765.000 €;135 m²;Münchnerstraße 74a, Dachau, Dachau (Kreis);Haus;Kauf
759.000 €;137 m²;Dachau, Dachau (Kreis);Haus;Kauf
799.000 €;137 m²;Dachau, Dachau (Kreis);Haus;Kauf
749.000 €;137 m²;Münchnerstraße 74a, Dachau, Dachau (Kreis);Haus;Kauf
1.049.000 €;165 m²;Thomas-Schwarz-Straße 47, Dachau, Dachau (Kreis);Haus;Kauf
599.000 €;133 m²;Pfaffenhofen an der Glonn, Dachau (Kreis);Haus;Kauf
